item_name,code,quantity,brand,category,type,images,image_local,image_url,notes,aliases,search_keywords,default_count_unit
HAMI MELON,4375,,,MELONS,produce_plu,[],,,,,HAMI MELON 4375   MELONS PRODUCE_PLU  ,
HONEY CRISP APPLE,3283,,,APPLES,produce_plu,[],,,,,HONEY CRISP APPLE 3283   APPLES PRODUCE_PLU  ,
HONEYDEW GOLDEN MELON,4317,,,MELONS,produce_plu,[],,,,,HONEYDEW GOLDEN MELON 4317   MELONS PRODUCE_PLU  ,
HONEYDEW MELON,4329,,,MELONS,produce_plu,[],,,,,HONEYDEW MELON 4329   MELONS PRODUCE_PLU  ,
HONEYDEW MELONS CUT,4344,,,MELONS,produce_plu,[],,,,,HONEYDEW MELONS CUT 4344   MELONS PRODUCE_PLU  ,
HORSERADISH,4625,,,RADISHS,produce_plu,[],,,,,HORSERADISH 4625   RADISHS PRODUCE_PLU  ,
HOT CHOCOLATE - LARGE,95135,,,HOT,produce_plu,[],,,,,HOT CHOCOLATE - LARGE 95135   HOT PRODUCE_PLU  ,
HOT CHOCOLATE - SMALL,95136,,,HOT,produce_plu,[],,,,,HOT CHOCOLATE - SMALL 95136   HOT PRODUCE_PLU  ,
HOTHOUSE GREEN PEPPER,3120,,,PEPPERS,produce_plu,[],,,,,HOTHOUSE GREEN PEPPER 3120   PEPPERS PRODUCE_PLU  ,
HOTHOUSE LG TOMATO,4799,,,TOMATOS,produce_plu,[],,,,,HOTHOUSE LG TOMATO 4799   TOMATOS PRODUCE_PLU  ,
HOTHOUSE LIVING BUTTER LETTUCE,4633,,,LETTUCES,produce_plu,[],,,,,HOTHOUSE LIVING BUTTER LETTUCE 4633   LETTUCES PRODUCE_PLU  ,
HOTHOUSE ON VINE ORANGE TOMATO,3149,,,ORANGES,produce_plu,[],,,,,HOTHOUSE ON VINE ORANGE TOMATO 3149   ORANGES PRODUCE_PLU  ,
HOTHOUSE ON VINE RED TOMATO,4664,,,TOMATOS,produce_plu,[],,,,,HOTHOUSE ON VINE RED TOMATO 4664   TOMATOS PRODUCE_PLU  ,
HOTHOUSE ON VINE YELLOW TOMATO,3148,,,TOMATOS,produce_plu,[],,,,,HOTHOUSE ON VINE YELLOW TOMATO 3148   TOMATOS PRODUCE_PLU  ,
HOTHOUSE ORANGE PEPPER,3121,,,ORANGES,produce_plu,[],,,,,HOTHOUSE ORANGE PEPPER 3121   ORANGES PRODUCE_PLU  ,
HOTHOUSE RED PEPPER,4688,,,PEPPERS,produce_plu,[],,,,,HOTHOUSE RED PEPPER 4688   PEPPERS PRODUCE_PLU  ,
HOTHOUSE YELLOW PEPPER,4689,,,PEPPERS,produce_plu,[],,,,,HOTHOUSE YELLOW PEPPER 4689   PEPPERS PRODUCE_PLU  ,
JALAPENO GREEN PEPPER,4693,,,PEPPERS,produce_plu,[],,,,,JALAPENO GREEN PEPPER 4693   PEPPERS PRODUCE_PLU  ,
JAZZ APPLE,3293,,,APPLES,produce_plu,[],,,,,JAZZ APPLE 3293   APPLES PRODUCE_PLU  ,
JICAMA ROOT,4626,,,JICAMA,produce_plu,[],,,,,JICAMA ROOT 4626   JICAMA PRODUCE_PLU  ,
JONAGOLD LG APPLE,4147,,,APPLES,produce_plu,[],,,,,JONAGOLD LG APPLE 4147   APPLES PRODUCE_PLU  ,
JONAGOLD SM APPLE,4145,,,APPLES,produce_plu,[],,,,,JONAGOLD SM APPLE 4145   APPLES PRODUCE_PLU  ,
JUMBO ONION,4093,,,ONIONS,produce_plu,[],,,,,JUMBO ONION 4093   ONIONS PRODUCE_PLU  ,
KABOCHA/BUTTERCUP SQUASH,4758,,,SQUASHS,produce_plu,[],,,,,KABOCHA/BUTTERCUP SQUASH 4758   SQUASHS PRODUCE_PLU  ,
KALE GREENS,4627,,,KALES,produce_plu,[],,,,,KALE GREENS 4627   KALES PRODUCE_PLU  ,
KALE RED,4854,,,KALES,produce_plu,[],,,,,KALE RED 4854   KALES PRODUCE_PLU  ,
KHOLRABI,4628,,,KHOLRABI,produce_plu,[],,,,,KHOLRABI 4628   KHOLRABI PRODUCE_PLU  ,
KIWANO,4302,,,KIWANO,produce_plu,[],,,,,KIWANO 4302   KIWANO PRODUCE_PLU  ,
KIWANO/HORNED MELON MELON,4302,,,MELONS,produce_plu,[],,,,,KIWANO/HORNED MELON MELON 4302   MELONS PRODUCE_PLU  ,
KIWI,4030,,,KIWIS,produce_plu,[],,,,,KIWI 4030   KIWIS PRODUCE_PLU  ,
KIWI GOLD,3279,,,KIWIS,produce_plu,[],,,,,KIWI GOLD 3279   KIWIS PRODUCE_PLU  ,
KOREAN MELON,4504,,,MELONS,produce_plu,[],,,,,KOREAN MELON 4504   MELONS PRODUCE_PLU  ,
KUMQUATS,4303,,,KUMQUATS,produce_plu,[],,,,,KUMQUATS 4303   KUMQUATS PRODUCE_PLU  ,
LAPINS CHERRIES,4478,,,LAPINS,produce_plu,[],,,,,LAPINS CHERRIES 4478   LAPINS PRODUCE_PLU  ,
LARGE PEACH,4044,,,PEACHS,produce_plu,[],,,,,LARGE PEACH 4044   PEACHS PRODUCE_PLU  ,
LATTE - LARGE,95142,,,LATTE,produce_plu,[],,,,,LATTE - LARGE 95142   LATTE PRODUCE_PLU  ,
LATTE - SMALL,95144,,,LATTE,produce_plu,[],,,,,LATTE - SMALL 95144   LATTE PRODUCE_PLU  ,
LEEKS,4629,,,LEEKS,produce_plu,[],,,,,LEEKS 4629   LEEKS PRODUCE_PLU  ,
LEMONGRASS,4894,,,LEMONGRASS,produce_plu,[],,,,,LEMONGRASS 4894   LEMONGRASS PRODUCE_PLU  ,
LEMONS LG,4053,,,LEMONS,produce_plu,[],,,,,LEMONS LG 4053   LEMONS PRODUCE_PLU  ,
LG FIELD TOMATO,4064,,,TOMATOS,produce_plu,[],,,,,LG FIELD TOMATO 4064   TOMATOS PRODUCE_PLU  ,
LG NECTARINE,4036,,,NECTARINES,produce_plu,[],,,,,LG NECTARINE 4036   NECTARINES PRODUCE_PLU  ,
LG PEACH,4038,,,PEACHS,produce_plu,[],,,,,LG PEACH 4038   PEACHS PRODUCE_PLU  ,
LIMES,4048,,,LIMES,produce_plu,[],,,,,LIMES 4048   LIMES PRODUCE_PLU  ,
LO BOK - DAIKON,4598,,,LO,produce_plu,[],,,,,LO BOK - DAIKON 4598   LO PRODUCE_PLU  ,
LONG ENGLISH CUCUMBER,4593,,,CUCUMBERS,produce_plu,[],,,,,LONG ENGLISH CUCUMBER 4593   CUCUMBERS PRODUCE_PLU  ,
LONG ENGLISH CUKE,3185,,,LONG,produce_plu,[],,,,,LONG ENGLISH CUKE 3185   LONG PRODUCE_PLU  ,
LONGAN,4307,,,LONGAN,produce_plu,[],,,,,LONGAN 4307   LONGAN PRODUCE_PLU  ,
LOTUS ROOT,3099,,,LOTUS,produce_plu,[],,,,,LOTUS ROOT 3099   LOTUS PRODUCE_PLU  ,
LYCHEES,4309,,,LYCHEES,produce_plu,[],,,,,LYCHEES 4309   LYCHEES PRODUCE_PLU  ,
MALANGA ROOT,4644,,,MALANGA,produce_plu,[],,,,,MALANGA ROOT 4644   MALANGA PRODUCE_PLU  ,
MANDARIN ORANGES AOSHIMA,4457,,,ORANGES,produce_plu,[],,,,,MANDARIN ORANGES AOSHIMA 4457   ORANGES PRODUCE_PLU  ,
MANDARINS ORANGE,4450,,,ORANGES,produce_plu,[],,,,,MANDARINS ORANGE 4450   ORANGES PRODUCE_PLU  ,
MANDARINS ORANGES BULK CHINESE,4055,,,ORANGES,produce_plu,[],,,,,MANDARINS ORANGES BULK CHINESE 4055   ORANGES PRODUCE_PLU  ,
MANGOES,4051,,,MANGOS,produce_plu,[],,,,,MANGOES 4051   MANGOS PRODUCE_PLU  ,
MANGOES ATAULFO,4312,,,MANGOS,produce_plu,[],,,,,MANGOES ATAULFO 4312   MANGOS PRODUCE_PLU  ,
MANGOES CASE LOT,1784,,,MANGOS,produce_plu,[],,,,,MANGOES CASE LOT 1784   MANGOS PRODUCE_PLU  ,
MANGOSTEEN,3042,,,MANGOS,produce_plu,[],,,,,MANGOSTEEN 3042   MANGOS PRODUCE_PLU  ,
MARMALADE/SEVILLE ORANGE,3109,,,ORANGES,produce_plu,[],,,,,MARMALADE/SEVILLE ORANGE 3109   ORANGES PRODUCE_PLU  ,
MCINTOSH APPLE,4153,,,APPLES,produce_plu,[],,,,,MCINTOSH APPLE 4153   APPLES PRODUCE_PLU  ,
MCINTOSH LG APPLE,4154,,,APPLES,produce_plu,[],,,,,MCINTOSH LG APPLE 4154   APPLES PRODUCE_PLU  ,
MEDIUM ONION,4665,,,ONIONS,produce_plu,[],,,,,MEDIUM ONION 4665   ONIONS PRODUCE_PLU  ,
MINI CUCUMBER,4592,,,CUCUMBERS,produce_plu,[],,,,,MINI CUCUMBER 4592   CUCUMBERS PRODUCE_PLU  ,
MINT - LEAVES BUNCHED FRESH,4896,1 each,,Fresh Herbs,produce,[],,,Loose/bunched fresh mint PLU,,MINT - LEAVES BUNCHED FRESH 4896 1 EACH  FRESH HERBS PRODUCE LOOSE/BUNCHED FRESH MINT PLU ,
MOCHA - LARGE,95133,,,MOCHA,produce_plu,[],,,,,MOCHA - LARGE 95133   MOCHA PRODUCE_PLU  ,
MOCHA - SMALL,95134,,,MOCHA,produce_plu,[],,,,,MOCHA - SMALL 95134   MOCHA PRODUCE_PLU  ,
MOO QUA MELON,306,,,MELONS,produce_plu,[],,,,,MOO QUA MELON 306   MELONS PRODUCE_PLU  ,
MUSK MELON,4318,,,MELONS,produce_plu,[],,,,,MUSK MELON 4318   MELONS PRODUCE_PLU  ,
NAVEL LG ORANGE,3107,,,ORANGES,produce_plu,[],,,,,NAVEL LG ORANGE 3107   ORANGES PRODUCE_PLU  ,
NAVEL SM ORANGE,4013,,,ORANGES,produce_plu,[],,,,,NAVEL SM ORANGE 4013   ORANGES PRODUCE_PLU  ,
NAVEL X-LG ORANGE,4012,,,ORANGES,produce_plu,[],,,,,NAVEL X-LG ORANGE 4012   ORANGES PRODUCE_PLU  ,
NUGGETS LOCAL POTATO,4729,,,POTATOS,produce_plu,[],,,,,NUGGETS LOCAL POTATO 4729   POTATOS PRODUCE_PLU  ,
NUGGETS RED POTATO,4723,,,POTATOS,produce_plu,[],,,,,NUGGETS RED POTATO 4723   POTATOS PRODUCE_PLU  ,
NUGGETS YELLOW POTATO,267,,,POTATOS,produce_plu,[],,,,,NUGGETS YELLOW POTATO 267   POTATOS PRODUCE_PLU  ,
OKRA,4655,,,OKRA,produce_plu,[],,,,,OKRA 4655   OKRA PRODUCE_PLU  ,
OPO,3141,,,OPO,produce_plu,[],,,,,OPO 3141   OPO PRODUCE_PLU  ,
ORANGE FIELD PEPPER,4682,,,ORANGES,produce_plu,[],,,,,ORANGE FIELD PEPPER 4682   ORANGES PRODUCE_PLU  ,
ORANGE HONEYDEW MELON,4326,,,MELONS,produce_plu,[],,,,,ORANGE HONEYDEW MELON 4326   MELONS PRODUCE_PLU  ,
ORG ACORN SQUASH,94750,,,CORNS,produce_plu,[],,,,organic acorn squash,ORG ACORN SQUASH 94750   CORNS PRODUCE_PLU  ORGANIC ACORN SQUASH,
ORG AMBROSIA APPLE,94210,,,APPLES,produce_plu,[],,,,organic ambrosia apple,ORG AMBROSIA APPLE 94210   APPLES PRODUCE_PLU  ORGANIC AMBROSIA APPLE,
ORG APRICOTS,94218,,,APRICOTS,produce_plu,[],,,,organic apricots,ORG APRICOTS 94218   APRICOTS PRODUCE_PLU  ORGANIC APRICOTS,
ORG ARUGULA,94884,,,ARUGULA,produce_plu,[],,,,organic arugula,ORG ARUGULA 94884   ARUGULA PRODUCE_PLU  ORGANIC ARUGULA,
ORG ASPARAGUS,94080,,,ASPARAGUS,produce_plu,[],,,,organic asparagus,ORG ASPARAGUS 94080   ASPARAGUS PRODUCE_PLU  ORGANIC ASPARAGUS,
ORG AVOCADOS,94046,,,AVOCADOS,produce_plu,[],,,,organic avocados,ORG AVOCADOS 94046   AVOCADOS PRODUCE_PLU  ORGANIC AVOCADOS,
ORG BABY BOK CHOY,94544,,,BOK CHOY,produce_plu,[],,,,organic baby bok choy,ORG BABY BOK CHOY 94544   BOK CHOY PRODUCE_PLU  ORGANIC BABY BOK CHOY,
ORG BANANAS,94011,,,BANANAS,produce_plu,[],,,,organic bananas,ORG BANANAS 94011   BANANAS PRODUCE_PLU  ORGANIC BANANAS,
ORG BARTLETT PEAR,94410,,,PEARS,produce_plu,[],,,,organic bartlett pear,ORG BARTLETT PEAR 94410   PEARS PRODUCE_PLU  ORGANIC BARTLETT PEAR,
ORG BEANS GREEN,94066,,,BEANS,produce_plu,[],,,,organic beans green,ORG BEANS GREEN 94066   BEANS PRODUCE_PLU  ORGANIC BEANS GREEN,
ORG BEETS BULK,94540,,,BEETS,produce_plu,[],,,,organic beets bulk,ORG BEETS BULK 94540   BEETS PRODUCE_PLU  ORGANIC BEETS BULK,
ORG BEETS BUNCH,94539,,,BEETS,produce_plu,[],,,,organic beets bunch,ORG BEETS BUNCH 94539   BEETS PRODUCE_PLU  ORGANIC BEETS BUNCH,
ORG BEETS GOLDEN,93273,,,BEETS,produce_plu,[],,,,organic beets golden,ORG BEETS GOLDEN 93273   BEETS PRODUCE_PLU  ORGANIC BEETS GOLDEN,
ORG BLACK GRAPE,94056,,,GRAPES,produce_plu,[],,,,organic black grape,ORG BLACK GRAPE 94056   GRAPES PRODUCE_PLU  ORGANIC BLACK GRAPE,
ORG BROCCOLI,94060,,,BROCCOLIS,produce_plu,[],,,,organic broccoli,ORG BROCCOLI 94060   BROCCOLIS PRODUCE_PLU  ORGANIC BROCCOLI,
ORG BUTTER LETTUCE,94632,,,LETTUCES,produce_plu,[],,,,organic butter lettuce,ORG BUTTER LETTUCE 94632   LETTUCES PRODUCE_PLU  ORGANIC BUTTER LETTUCE,
ORG BUTTER NUT SQUASH,94759,,,SQUASHS,produce_plu,[],,,,organic butter nut squash,ORG BUTTER NUT SQUASH 94759   SQUASHS PRODUCE_PLU  ORGANIC BUTTER NUT SQUASH,
ORG BUTTERCUP SQUASH,94758,,,SQUASHS,produce_plu,[],,,,organic buttercup squash,ORG BUTTERCUP SQUASH 94758   SQUASHS PRODUCE_PLU  ORGANIC BUTTERCUP SQUASH,
ORG CABBAGE GREEN,94069,,,CABBAGES,produce_plu,[],,,,organic cabbage green,ORG CABBAGE GREEN 94069   CABBAGES PRODUCE_PLU  ORGANIC CABBAGE GREEN,
ORG CABBAGE RED,94554,,,CABBAGES,produce_plu,[],,,,organic cabbage red,ORG CABBAGE RED 94554   CABBAGES PRODUCE_PLU  ORGANIC CABBAGE RED,
ORG CAMEO APPLE,93066,,,APPLES,produce_plu,[],,,,organic cameo apple,ORG CAMEO APPLE 93066   APPLES PRODUCE_PLU  ORGANIC CAMEO APPLE,
ORG CANTALOUPE,94049,,,CANTALOUPE,produce_plu,[],,,,organic cantaloupe,ORG CANTALOUPE 94049   CANTALOUPE PRODUCE_PLU  ORGANIC CANTALOUPE,
ORG CARA CARA NAVELS ORANGE,93110,,,ORANGES,produce_plu,[],,,,organic cara cara navels orange,ORG CARA CARA NAVELS ORANGE 93110   ORANGES PRODUCE_PLU  ORGANIC CARA CARA NAVELS ORANGE,
ORG CARROTS BUNCH,94094,,,CARROTS,produce_plu,[],,,,organic carrots bunch,ORG CARROTS BUNCH 94094   CARROTS PRODUCE_PLU  ORGANIC CARROTS BUNCH,
ORG CAULIFLOWER,94079,,,CAULIFLOWERS,produce_plu,[],,,,organic cauliflower,ORG CAULIFLOWER 94079   CAULIFLOWERS PRODUCE_PLU  ORGANIC CAULIFLOWER,
ORG CELERY,94070,,,CELERYS,produce_plu,[],,,,organic celery,ORG CELERY 94070   CELERYS PRODUCE_PLU  ORGANIC CELERY,
ORG CHERRIES,94045,,,CHERRIES,produce_plu,[],,,,organic cherries,ORG CHERRIES 94045   CHERRIES PRODUCE_PLU  ORGANIC CHERRIES,
ORG CILANTRO,94889,,,CILANTRO,produce_plu,[],,,,organic cilantro,ORG CILANTRO 94889   CILANTRO PRODUCE_PLU  ORGANIC CILANTRO,
ORG COLLARD GREENS,94614,,,COLLARD,produce_plu,[],,,,organic collard greens,ORG COLLARD GREENS 94614   COLLARD PRODUCE_PLU  ORGANIC COLLARD GREENS,
ORG DANDELION GREENS,94615,,,DANDELION,produce_plu,[],,,,organic dandelion greens,ORG DANDELION GREENS 94615   DANDELION PRODUCE_PLU  ORGANIC DANDELION GREENS,
ORG EGGPLANT,94081,,,EGGPLANTS,produce_plu,[],,,,organic eggplant,ORG EGGPLANT 94081   EGGPLANTS PRODUCE_PLU  ORGANIC EGGPLANT,
ORG FENNEL,94515,,,FENNEL,produce_plu,[],,,,organic fennel,ORG FENNEL 94515   FENNEL PRODUCE_PLU  ORGANIC FENNEL,
ORG FIELD CUCUMBER,94062,,,CUCUMBERS,produce_plu,[],,,,organic field cucumber,ORG FIELD CUCUMBER 94062   CUCUMBERS PRODUCE_PLU  ORGANIC FIELD CUCUMBER,
ORG FIELD TOMATO,94064,,,TOMATOS,produce_plu,[],,,,organic field tomato,ORG FIELD TOMATO 94064   TOMATOS PRODUCE_PLU  ORGANIC FIELD TOMATO,
ORG FUJI APPLE,94131,,,APPLES,produce_plu,[],,,,organic fuji apple,ORG FUJI APPLE 94131   APPLES PRODUCE_PLU  ORGANIC FUJI APPLE,
ORG GALA APPLE,94174,,,APPLES,produce_plu,[],,,,organic gala apple,ORG GALA APPLE 94174   APPLES PRODUCE_PLU  ORGANIC GALA APPLE,
ORG GOLDEN DEL APPLE,94020,,,APPLES,produce_plu,[],,,,organic golden del apple,ORG GOLDEN DEL APPLE 94020   APPLES PRODUCE_PLU  ORGANIC GOLDEN DEL APPLE,
ORG GRANNY SMITH APPLE,94139,,,APPLES,produce_plu,[],,,,organic granny smith apple,ORG GRANNY SMITH APPLE 94139   APPLES PRODUCE_PLU  ORGANIC GRANNY SMITH APPLE,
ORG GRAPEFRUIT LG,94282,,,GRAPES,produce_plu,[],,,,organic grapefruit lg,ORG GRAPEFRUIT LG 94282   GRAPES PRODUCE_PLU  ORGANIC GRAPEFRUIT LG,
ORG GRAPEFRUIT SM,94286,,,GRAPES,produce_plu,[],,,,organic grapefruit sm,ORG GRAPEFRUIT SM 94286   GRAPES PRODUCE_PLU  ORGANIC GRAPEFRUIT SM,
ORG GREEN GRAPE,94022,,,GRAPES,produce_plu,[],,,,organic green grape,ORG GREEN GRAPE 94022   GRAPES PRODUCE_PLU  ORGANIC GREEN GRAPE,
ORG GREEN LEAF LETTUCE,94076,,,LETTUCES,produce_plu,[],,,,organic green leaf lettuce,ORG GREEN LEAF LETTUCE 94076   LETTUCES PRODUCE_PLU  ORGANIC GREEN LEAF LETTUCE,
ORG GREEN ONION,94068,,,ONIONS,produce_plu,[],,,,organic green onion,ORG GREEN ONION 94068   ONIONS PRODUCE_PLU  ORGANIC GREEN ONION,
ORG GREEN ONIONS,94068,,,ONIONS,produce_plu,[],,,,organic green onions,ORG GREEN ONIONS 94068   ONIONS PRODUCE_PLU  ORGANIC GREEN ONIONS,
ORG GREEN PEPPER,94065,,,PEPPERS,produce_plu,[],,,,organic green pepper,ORG GREEN PEPPER 94065   PEPPERS PRODUCE_PLU  ORGANIC GREEN PEPPER,
ORG HEAD LETTUCE,94061,,,LETTUCES,produce_plu,[],,,,organic head lettuce,ORG HEAD LETTUCE 94061   LETTUCES PRODUCE_PLU  ORGANIC HEAD LETTUCE,
ORG HEIRLOOM TOMATO,93423,,,TOMATOS,produce_plu,[],,,,organic heirloom tomato,ORG HEIRLOOM TOMATO 93423   TOMATOS PRODUCE_PLU  ORGANIC HEIRLOOM TOMATO,
ORG HONEY CRISP APPLE,93283,,,APPLES,produce_plu,[],,,,organic honey crisp apple,ORG HONEY CRISP APPLE 93283   APPLES PRODUCE_PLU  ORGANIC HONEY CRISP APPLE,
ORG HONEYDEW MELON,94329,,,MELONS,produce_plu,[],,,,organic honeydew melon,ORG HONEYDEW MELON 94329   MELONS PRODUCE_PLU  ORGANIC HONEYDEW MELON,
ORG HONEYDEW MELONS,94034,,,MELONS,produce_plu,[],,,,organic honeydew melons,ORG HONEYDEW MELONS 94034   MELONS PRODUCE_PLU  ORGANIC HONEYDEW MELONS,
ORG HOTHOUSE ON VINE TOMATO,94664,,,TOMATOS,produce_plu,[],,,,organic hothouse on vine tomato,ORG HOTHOUSE ON VINE TOMATO 94664   TOMATOS PRODUCE_PLU  ORGANIC HOTHOUSE ON VINE TOMATO,
ORG HOTHOUSE TOMATO,94799,,,TOMATOS,produce_plu,[],,,,organic hothouse tomato,ORG HOTHOUSE TOMATO 94799   TOMATOS PRODUCE_PLU  ORGANIC HOTHOUSE TOMATO,
ORG JONAGOLD APPLE,94145,,,APPLES,produce_plu,[],,,,organic jonagold apple,ORG JONAGOLD APPLE 94145   APPLES PRODUCE_PLU  ORGANIC JONAGOLD APPLE,
ORG KABOCHA SQUASH,94769,,,SQUASHS,produce_plu,[],,,,organic kabocha squash,ORG KABOCHA SQUASH 94769   SQUASHS PRODUCE_PLU  ORGANIC KABOCHA SQUASH,
ORG KALE,94627,,,KALES,produce_plu,[],,,,organic kale,ORG KALE 94627   KALES PRODUCE_PLU  ORGANIC KALE,
ORG KIWI,94030,,,KIWIS,produce_plu,[],,,,organic kiwi,ORG KIWI 94030   KIWIS PRODUCE_PLU  ORGANIC KIWI,
ORG LEEKS,94629,,,LEEKS,produce_plu,[],,,,organic leeks,ORG LEEKS 94629   LEEKS PRODUCE_PLU  ORGANIC LEEKS,
ORG LEMONS,94053,,,LEMONS,produce_plu,[],,,,organic lemons,ORG LEMONS 94053   LEMONS PRODUCE_PLU  ORGANIC LEMONS,
ORG LONG ENGLISH CUCUMBER,94593,,,CUCUMBERS,produce_plu,[],,,,organic long english cucumber,ORG LONG ENGLISH CUCUMBER 94593   CUCUMBERS PRODUCE_PLU  ORGANIC LONG ENGLISH CUCUMBER,
ORG MANGOES,94051,,,MANGOS,produce_plu,[],,,,organic mangoes,ORG MANGOES 94051   MANGOS PRODUCE_PLU  ORGANIC MANGOES,
ORG MANGOES ATAULFO,94312,,,MANGOS,produce_plu,[],,,,organic mangoes ataulfo,ORG MANGOES ATAULFO 94312   MANGOS PRODUCE_PLU  ORGANIC MANGOES ATAULFO,
ORG MCINTOSH APPLE,94153,,,APPLES,produce_plu,[],,,,organic mcintosh apple,ORG MCINTOSH APPLE 94153   APPLES PRODUCE_PLU  ORGANIC MCINTOSH APPLE,
ORG MUSTARD GREENS,94616,,,MUSTARD,produce_plu,[],,,,organic mustard greens,ORG MUSTARD GREENS 94616   MUSTARD PRODUCE_PLU  ORGANIC MUSTARD GREENS,
ORG NAVEL SMALL ORANGE,94013,,,ORANGES,produce_plu,[],,,,organic navel small orange,ORG NAVEL SMALL ORANGE 94013   ORANGES PRODUCE_PLU  ORGANIC NAVEL SMALL ORANGE,
ORG NECTARINES,94035,,,NECTARINES,produce_plu,[],,,,organic nectarines,ORG NECTARINES 94035   NECTARINES PRODUCE_PLU  ORGANIC NECTARINES,
ORG ORANGE PEPPER,94682,,,ORANGES,produce_plu,[],,,,organic orange pepper,ORG ORANGE PEPPER 94682   ORANGES PRODUCE_PLU  ORGANIC ORANGE PEPPER,
ORG ORANGES,93108,,,ORANGES,produce_plu,[],,,,organic oranges,ORG ORANGES 93108   ORANGES PRODUCE_PLU  ORGANIC ORANGES,
ORG PAPAYA SUNRISE,93111,,,PAPAYAS,produce_plu,[],,,,organic papaya sunrise,ORG PAPAYA SUNRISE 93111   PAPAYAS PRODUCE_PLU  ORGANIC PAPAYA SUNRISE,
ORG PARSLEY ITALIAN,94901,,,PARSLEY,produce_plu,[],,,,organic parsley italian,ORG PARSLEY ITALIAN 94901   PARSLEY PRODUCE_PLU  ORGANIC PARSLEY ITALIAN,
ORG PEACHES,94044,,,PEACHS,produce_plu,[],,,,organic peaches,ORG PEACHES 94044   PEACHS PRODUCE_PLU  ORGANIC PEACHES,
ORG PEARS,94416,,,PEARS,produce_plu,[],,,,organic pears,ORG PEARS 94416   PEARS PRODUCE_PLU  ORGANIC PEARS,
ORG PEARS,94024,,,PEARS,produce_plu,[],,,,organic pears,ORG PEARS 94024   PEARS PRODUCE_PLU  ORGANIC PEARS,
ORG PINEAPPLE,94029,,,APPLES,produce_plu,[],,,,organic pineapple,ORG PINEAPPLE 94029   APPLES PRODUCE_PLU  ORGANIC PINEAPPLE,
ORG PINK LADY APPLE,94128,,,APPLES,produce_plu,[],,,,organic pink lady apple,ORG PINK LADY APPLE 94128   APPLES PRODUCE_PLU  ORGANIC PINK LADY APPLE,
ORG PLUMS,94040,,,PLUMS,produce_plu,[],,,,organic plums,ORG PLUMS 94040   PLUMS PRODUCE_PLU  ORGANIC PLUMS,
ORG POMEGRANATE,93127,,,POMEGRANATE,produce_plu,[],,,,organic pomegranate,ORG POMEGRANATE 93127   POMEGRANATE PRODUCE_PLU  ORGANIC POMEGRANATE,
ORG RADISHES,94089,,,RADISHS,produce_plu,[],,,,organic radishes,ORG RADISHES 94089   RADISHS PRODUCE_PLU  ORGANIC RADISHES,
ORG RADISHES WHITE,94740,,,RADISHS,produce_plu,[],,,,organic radishes white,ORG RADISHES WHITE 94740   RADISHS PRODUCE_PLU  ORGANIC RADISHES WHITE,
ORG RED DEL APPLE,94016,,,APPLES,produce_plu,[],,,,organic red del apple,ORG RED DEL APPLE 94016   APPLES PRODUCE_PLU  ORGANIC RED DEL APPLE,
ORG RED GRAPE,94023,,,GRAPES,produce_plu,[],,,,organic red grape,ORG RED GRAPE 94023   GRAPES PRODUCE_PLU  ORGANIC RED GRAPE,
ORG RED LEAF LETTUCE,94075,,,LETTUCES,produce_plu,[],,,,organic red leaf lettuce,ORG RED LEAF LETTUCE 94075   LETTUCES PRODUCE_PLU  ORGANIC RED LEAF LETTUCE,
ORG RED PEPPER,94088,,,PEPPERS,produce_plu,[],,,,organic red pepper,ORG RED PEPPER 94088   PEPPERS PRODUCE_PLU  ORGANIC RED PEPPER,
ORG RED PEPPER,94688,,,PEPPERS,produce_plu,[],,,,organic red pepper,ORG RED PEPPER 94688   PEPPERS PRODUCE_PLU  ORGANIC RED PEPPER,
ORG ROMA TOMATO,94087,,,TOMATOS,produce_plu,[],,,,organic roma tomato,ORG ROMA TOMATO 94087   TOMATOS PRODUCE_PLU  ORGANIC ROMA TOMATO,
ORG ROMAINE LETTUCE,94640,,,LETTUCES,produce_plu,[],,,,organic romaine lettuce,ORG ROMAINE LETTUCE 94640   LETTUCES PRODUCE_PLU  ORGANIC ROMAINE LETTUCE,
ORG SATSUMA ORANGE,93029,,,ORANGES,produce_plu,[],,,,organic satsuma orange,ORG SATSUMA ORANGE 93029   ORANGES PRODUCE_PLU  ORGANIC SATSUMA ORANGE,
ORG SPAGHETTI SQUASH,94776,,,SQUASHS,produce_plu,[],,,,organic spaghetti squash,ORG SPAGHETTI SQUASH 94776   SQUASHS PRODUCE_PLU  ORGANIC SPAGHETTI SQUASH,
ORG SPARTAN APPLE,94180,,,APPLES,produce_plu,[],,,,organic spartan apple,ORG SPARTAN APPLE 94180   APPLES PRODUCE_PLU  ORGANIC SPARTAN APPLE,
ORG SPINACH,94090,,,SPINACH,produce_plu,[],,,,organic spinach,ORG SPINACH 94090   SPINACH PRODUCE_PLU  ORGANIC SPINACH,
ORG SPRING MIX LETTUCE,94847,,,LETTUCES,produce_plu,[],,,,organic spring mix lettuce,ORG SPRING MIX LETTUCE 94847   LETTUCES PRODUCE_PLU  ORGANIC SPRING MIX LETTUCE,
ORG SUGAR PEAS,94675,,,SUGAR,produce_plu,[],,,,organic sugar peas,ORG SUGAR PEAS 94675   SUGAR PRODUCE_PLU  ORGANIC SUGAR PEAS,
